match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
8650,2018-07-06,18:00:00.000,1,2,available,scheduled,2026-05-15T15:44:36.027327,2021-06-13T16:17:31.694,5,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,781,Brazil,male,,31,Brazil,782,Belgium,male,,22,Belgium,11,Quarter-finals,4258,Ak Bars Arena,188,Russia,727,Milorad Mažić,203,Serbia,Adenor Leonardo Bacchi,Roberto Martínez Montoliú,547,Adenor Leonardo Bacchi,Tite,1961-05-25,31,Brazil,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1.0.2,,
7584,2018-07-02,18:00:00.000,3,2,available,scheduled,2026-05-15T15:42:46.319084,2021-06-13T16:17:31.694,4,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,782,Belgium,male,,22,Belgium,778,Japan,male,,114,Japan,33,Round of 16,256,Rostov Arena,188,Russia,732,Malang Diedhiou,202,Senegal,Roberto Martínez Montoliú,Akira Nishino,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,644,Akira Nishino,,1955-04-07,114,Japan,1.0.2,,
7554,2018-06-24,12:00:00.000,6,1,available,scheduled,2026-05-15T15:40:36.254491,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,768,England,male,,68,England,798,Panama,male,,176,Panama,10,Group Stage,4263,Stadion Nizhny Novgorod (Nizhniy Novgorod),188,Russia,992,Ghead Grisha,66,Egypt,Gareth Southgate,Hernán Darío Gómez Jaramillo,277,Gareth Southgate,,1970-09-03,68,England,654,Hernán Darío Gómez Jaramillo,Hernán Darío Gómez,1956-02-03,49,Colombia,1.0.2,,
7539,2018-06-19,15:00:00.000,1,2,available,scheduled,2026-05-15T15:39:59.042458,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,789,Poland,male,,182,Poland,787,Senegal,male,,202,Senegal,10,Group Stage,4130,Otkritie Bank Arena,188,Russia,176,Nawaf Abdulla Ghayyath Shukralla,18,Bahrain,Adam Nawałka,Aliou Cissé,542,Adam Nawałka,,1957-10-23,182,Poland,635,Aliou Cissé,,1976-03-24,202,Senegal,1.0.2,,
7550,2018-06-22,18:00:00.000,1,2,available,scheduled,2026-05-15T15:38:23.546532,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,786,Serbia,male,,203,Serbia,773,Switzerland,male,,221,Switzerland,10,Group Stage,4260,Rostec Arena,188,Russia,186,Felix Brych,85,Germany,Mladen Krstajić,Vladimir Petković,640,Mladen Krstajić,,1974-03-04,203,Serbia,492,Vladimir Petković,,1963-08-15,28,Bosnia and Herzegovina,1.0.2,,
7538,2018-06-18,12:00:00.000,1,0,available,scheduled,2026-05-15T15:35:58.346952,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,790,Sweden,male,,220,Sweden,791,South Korea,male,F,121,Korea (South),10,Group Stage,4263,Stadion Nizhny Novgorod (Nizhniy Novgorod),188,Russia,742,Joel Antonio Aguilar Chicas,67,El Salvador,Jan Olof Andersson,Tae-Yong Shin,549,Jan Olof Andersson,,1962-09-29,220,Sweden,631,Tae-Yong Shin,Shin Tae-Yong,1970-10-11,121,Korea (South),1.0.2,,
7534,2018-06-17,15:00:00.000,0,1,available,scheduled,2026-05-15T15:35:04.184826,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,770,Germany,male,,85,Germany,794,Mexico,male,,147,Mexico,10,Group Stage,255,Stadion Luzhniki,188,Russia,741,Alireza Faghani,14,Australia,Joachim Löw,Juan Carlos Osorio Arbeláez,602,Joachim Löw,,1960-02-03,85,Germany,632,Juan Carlos Osorio Arbeláez,Juan Carlos Osorio,1961-06-08,49,Colombia,1.0.2,,
7543,2018-06-20,18:00:00.000,0,1,available,scheduled,2026-05-15T15:34:34.108660,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,797,Iran,male,,107,"Iran, Islamic Republic of",772,Spain,male,,214,Spain,10,Group Stage,4258,Ak Bars Arena,188,Russia,734,Andrés Cunha,242,Uruguay,Carlos Manuel Brito Leal Queiróz,Fernando Ruiz Hierro,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,643,Fernando Ruiz Hierro,Fernando Hierro,1968-03-23,214,Spain,1.0.2,,
7544,2018-06-20,15:00:00.000,1,0,available,scheduled,2026-05-15T15:32:42.065560,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,783,Uruguay,male,A,242,Uruguay,799,Saudi Arabia,male,,200,Saudi Arabia,10,Group Stage,256,Rostov Arena,188,Russia,76,Clément Turpin,78,France,Óscar Washington Tabárez Silva,Juan Antonio Pizzi Torroja,476,Óscar Washington Tabárez Silva,Óscar Tabárez,1947-03-03,242,Uruguay,638,Juan Antonio Pizzi Torroja,Pizzi,1968-06-07,214,Spain,1.0.2,,
7546,2018-06-21,15:00:00.000,1,0,available,scheduled,2026-05-15T15:37:28.413488,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,771,France,male,,78,France,784,Peru,male,,179,Peru,10,Group Stage,4261,Ekaterinburg Arena,188,Russia,737,Mohamed Abdulla Hassan Mohd,239,United Arab Emirates,Didier Deschamps,Ricardo Alberto Gareca Nardi,545,Didier Deschamps,,1968-10-15,78,France,629,Ricardo Alberto Gareca Nardi,Ricardo Gareca,1958-02-10,11,Argentina,1.0.2,,
7545,2018-06-21,18:00:00.000,0,3,available,scheduled,2026-05-15T15:36:23.908574,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,779,Argentina,male,,11,Argentina,785,Croatia,male,,56,Croatia,10,Group Stage,4263,Stadion Nizhny Novgorod (Nizhniy Novgorod),188,Russia,735,Ravshan Irmatov,244,Uzbekistan,Jorge Luis Sampaoli Moya,Zlatko Dalić,637,Jorge Luis Sampaoli Moya,Jorge Sampaoli,1960-03-13,11,Argentina,307,Zlatko Dalić,,1966-10-26,56,Croatia,1.0.2,,
7585,2018-07-03,18:00:00.000,1,1,available,scheduled,2023-07-24T13:06:27.791230,2021-06-13T16:17:31.694,4,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,769,Colombia,male,,49,Colombia,768,England,male,,68,England,33,Round of 16,4130,Otkritie Bank Arena,188,Russia,435,Mark Geiger,241,United States of America,José Néstor Pekerman,Gareth Southgate,634,José Néstor Pekerman,José Pékerman,1949-09-03,11,Argentina,277,Gareth Southgate,,1970-09-03,68,England,1.0.2,,
7569,2018-06-28,18:00:00.000,1,2,available,scheduled,2026-05-15T15:43:24.963873,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,798,Panama,male,,176,Panama,777,Tunisia,male,,232,Tunisia,10,Group Stage,4259,Mordovia Arena,188,Russia,176,Nawaf Abdulla Ghayyath Shukralla,18,Bahrain,Hernán Darío Gómez Jaramillo,Nabil Maâloul,654,Hernán Darío Gómez Jaramillo,Hernán Darío Gómez,1956-02-03,49,Colombia,557,Nabil Maâloul,,1962-07-25,232,Tunisia,1.0.2,,
7572,2018-06-28,14:00:00.000,0,1,available,scheduled,2026-05-15T15:44:28.717189,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,778,Japan,male,,114,Japan,789,Poland,male,,182,Poland,10,Group Stage,4257,Volgograd Arena,188,Russia,743,Janny Sikazwe,253,Zambia,Akira Nishino,Adam Nawałka,644,Akira Nishino,,1955-04-07,114,Japan,542,Adam Nawałka,,1957-10-23,182,Poland,1.0.2,,
7561,2018-06-26,18:00:00.000,1,2,available,scheduled,2026-05-15T15:47:19.647048,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,793,Iceland,male,,104,Iceland,785,Croatia,male,,56,Croatia,10,Group Stage,256,Rostov Arena,188,Russia,180,Antonio Miguel Mateu Lahoz,214,Spain,Heimir Hallgrímsson,Zlatko Dalić,648,Heimir Hallgrímsson,,1967-06-10,104,Iceland,307,Zlatko Dalić,,1966-10-26,56,Croatia,1.0.2,,
7540,2018-06-19,18:00:00.000,3,1,available,scheduled,2026-05-15T15:38:56.623865,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,796,Russia,male,,188,Russia,774,Egypt,male,,66,Egypt,10,Group Stage,4726,Saint-Petersburg Stadium ( Gazprom Arena ),188,Russia,731,Enrique Cáceres,178,Paraguay,Stanislav Cherchesov,Héctor Raúl Cúper,365,Stanislav Cherchesov,,1963-09-02,188,Russia,486,Héctor Raúl Cúper,Héctor Cúper,1955-11-16,11,Argentina,1.0.2,,
7531,2018-06-16,13:00:00.000,1,1,available,scheduled,2026-05-15T15:32:53.555074,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,779,Argentina,male,,11,Argentina,793,Iceland,male,,104,Iceland,10,Group Stage,4130,Otkritie Bank Arena,188,Russia,367,Szymon Marciniak,182,Poland,Jorge Luis Sampaoli Moya,Heimir Hallgrímsson,637,Jorge Luis Sampaoli Moya,Jorge Sampaoli,1960-03-13,11,Argentina,648,Heimir Hallgrímsson,,1967-06-10,104,Iceland,1.0.2,,
7570,2018-06-28,18:00:00.000,0,1,available,scheduled,2026-05-15T15:46:19.062591,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,768,England,male,,68,England,782,Belgium,male,,22,Belgium,10,Group Stage,4260,Rostec Arena,188,Russia,420,Damir Skomina,208,Slovenia,Gareth Southgate,Roberto Martínez Montoliú,277,Gareth Southgate,,1970-09-03,68,England,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1.0.2,,
7586,2018-07-03,14:00:00.000,1,0,available,scheduled,2026-05-15T15:43:40.477182,2021-06-13T16:17:31.694,4,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,790,Sweden,male,,220,Sweden,773,Switzerland,male,,221,Switzerland,33,Round of 16,4726,Saint-Petersburg Stadium ( Gazprom Arena ),188,Russia,420,Damir Skomina,208,Slovenia,Jan Olof Andersson,Vladimir Petković,549,Jan Olof Andersson,,1962-09-29,220,Sweden,492,Vladimir Petković,,1963-08-15,28,Bosnia and Herzegovina,1.0.2,,
7557,2018-06-25,18:00:00.000,1,1,available,scheduled,2026-05-15T15:42:29.037684,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,797,Iran,male,,107,"Iran, Islamic Republic of",780,Portugal,male,,183,Portugal,10,Group Stage,4259,Mordovia Arena,188,Russia,731,Enrique Cáceres,178,Paraguay,Carlos Manuel Brito Leal Queiróz,Fernando Manuel Fernandes da Costa Santos,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,1.0.2,,
7542,2018-06-20,12:00:00.000,1,0,available,scheduled,2026-05-15T15:33:35.387529,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,780,Portugal,male,,183,Portugal,788,Morocco,male,,154,Morocco,10,Group Stage,255,Stadion Luzhniki,188,Russia,435,Mark Geiger,241,United States of America,Fernando Manuel Fernandes da Costa Santos,Hervé Renard,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,642,Hervé Renard,,1968-09-30,78,France,1.0.2,,
8656,2018-07-11,18:00:00.000,2,1,available,scheduled,2026-05-15T15:41:07.501177,2021-06-13T16:17:31.694,6,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,785,Croatia,male,,56,Croatia,768,England,male,,68,England,15,Semi-finals,255,Stadion Luzhniki,188,Russia,581,Cüneyt Çakιr,233,Turkey,Zlatko Dalić,Gareth Southgate,307,Zlatko Dalić,,1966-10-26,56,Croatia,277,Gareth Southgate,,1970-09-03,68,England,1.0.2,,
7548,2018-06-22,12:00:00.000,2,0,available,scheduled,2026-05-15T09:50:48.136532,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,781,Brazil,male,E,31,Brazil,795,Costa Rica,male,,54,Costa Rica,10,Group Stage,4726,Saint-Petersburg Stadium ( Gazprom Arena ),188,Russia,287,Björn Kuipers,160,Netherlands,Adenor Leonardo Bacchi,Óscar Antonio Ramírez Hernández,547,Adenor Leonardo Bacchi,Tite,1961-05-25,31,Brazil,646,Óscar Antonio Ramírez Hernández,Óscar Ramírez,1964-12-08,54,Costa Rica,1.0.2,,
7578,2018-06-15,12:00:00.000,0,1,available,scheduled,2026-05-15T15:36:43.325339,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,774,Egypt,male,,66,Egypt,783,Uruguay,male,A,242,Uruguay,10,Group Stage,4261,Ekaterinburg Arena,188,Russia,287,Björn Kuipers,160,Netherlands,Héctor Raúl Cúper,Óscar Washington Tabárez Silva,486,Héctor Raúl Cúper,Héctor Cúper,1955-11-16,11,Argentina,476,Óscar Washington Tabárez Silva,Óscar Tabárez,1947-03-03,242,Uruguay,1.0.2,,
7553,2018-06-23,15:00:00.000,1,2,available,scheduled,2026-05-15T15:41:09.774288,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,791,South Korea,male,F,121,Korea (South),794,Mexico,male,,147,Mexico,10,Group Stage,256,Rostov Arena,188,Russia,727,Milorad Mažić,203,Serbia,Tae-Yong Shin,Juan Carlos Osorio Arbeláez,631,Tae-Yong Shin,Shin Tae-Yong,1970-10-11,121,Korea (South),632,Juan Carlos Osorio Arbeláez,Juan Carlos Osorio,1961-06-08,49,Colombia,1.0.2,,
7536,2018-06-18,15:00:00.000,3,0,available,scheduled,2026-05-15T15:36:57.376541,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,782,Belgium,male,,22,Belgium,798,Panama,male,,176,Panama,10,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,743,Janny Sikazwe,253,Zambia,Roberto Martínez Montoliú,Hernán Darío Gómez Jaramillo,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,654,Hernán Darío Gómez Jaramillo,Hernán Darío Gómez,1956-02-03,49,Colombia,1.0.2,,
7555,2018-06-24,18:00:00.000,0,3,available,scheduled,2026-05-15T15:39:31.053188,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,789,Poland,male,,182,Poland,769,Colombia,male,,49,Colombia,10,Group Stage,4258,Ak Bars Arena,188,Russia,740,César Arturo Ramos Palazuelos,147,Mexico,Adam Nawałka,José Néstor Pekerman,542,Adam Nawałka,,1957-10-23,182,Poland,634,José Néstor Pekerman,José Pékerman,1949-09-03,11,Argentina,1.0.2,,
7576,2018-06-15,18:00:00.000,3,3,available,scheduled,2026-05-15T15:30:55.089915,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,780,Portugal,male,,183,Portugal,772,Spain,male,,214,Spain,10,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,268,Gianluca Rocchi,112,Italy,Fernando Manuel Fernandes da Costa Santos,Fernando Ruiz Hierro,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,643,Fernando Ruiz Hierro,Fernando Hierro,1968-03-23,214,Spain,1.0.2,,
7565,2018-06-27,18:00:00.000,0,2,available,scheduled,2026-05-15T15:39:49.097423,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,786,Serbia,male,,203,Serbia,781,Brazil,male,E,31,Brazil,10,Group Stage,4130,Otkritie Bank Arena,188,Russia,741,Alireza Faghani,14,Australia,Mladen Krstajić,Adenor Leonardo Bacchi,640,Mladen Krstajić,,1974-03-04,203,Serbia,547,Adenor Leonardo Bacchi,Tite,1961-05-25,31,Brazil,1.0.2,,
7551,2018-06-23,18:00:00.000,2,1,available,scheduled,2026-05-15T15:40:18.867219,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,770,Germany,male,,85,Germany,790,Sweden,male,,220,Sweden,10,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,367,Szymon Marciniak,182,Poland,Joachim Löw,Jan Olof Andersson,602,Joachim Löw,,1960-02-03,85,Germany,549,Jan Olof Andersson,,1962-09-29,220,Sweden,1.0.2,,
7537,2018-06-18,18:00:00.000,1,2,available,scheduled,2026-05-15T15:37:59.092817,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,777,Tunisia,male,,232,Tunisia,768,England,male,,68,England,10,Group Stage,4257,Volgograd Arena,188,Russia,175,Wilmar Alexander Roldán Pérez,49,Colombia,Nabil Maâloul,Gareth Southgate,557,Nabil Maâloul,,1962-07-25,232,Tunisia,277,Gareth Southgate,,1970-09-03,68,England,1.0.2,,
7580,2018-06-30,14:00:00.000,4,3,available,scheduled,2026-05-15T15:39:23.000744,2021-06-13T16:17:31.694,4,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,771,France,male,,78,France,779,Argentina,male,,11,Argentina,33,Round of 16,4258,Ak Bars Arena,188,Russia,741,Alireza Faghani,14,Australia,Didier Deschamps,Jorge Luis Sampaoli Moya,545,Didier Deschamps,,1968-10-15,78,France,637,Jorge Luis Sampaoli Moya,Jorge Sampaoli,1960-03-13,11,Argentina,1.0.2,,
7581,2018-07-01,18:00:00.000,1,1,available,scheduled,2026-05-15T15:40:37.131942,2021-06-13T16:17:31.694,4,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,785,Croatia,male,,56,Croatia,776,Denmark,male,,61,Denmark,33,Round of 16,4263,Stadion Nizhny Novgorod (Nizhniy Novgorod),188,Russia,730,Néstor Fabián Pitana,11,Argentina,Zlatko Dalić,Åge Fridtjof Hareide,307,Zlatko Dalić,,1966-10-26,56,Croatia,641,Åge Fridtjof Hareide,Åge Hareide,1953-09-23,171,Norway,1.0.2,,
7549,2018-06-22,15:00:00.000,2,0,available,scheduled,2024-06-04T10:54:06.862960,2021-06-13T16:17:31.694,2,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,775,Nigeria,male,,166,Nigeria,793,Iceland,male,,104,Iceland,10,Group Stage,4257,Volgograd Arena,188,Russia,739,Matthew Conger,163,New Zealand,Gernot Rohr,Heimir Hallgrímsson,636,Gernot Rohr,,1953-06-28,85,Germany,648,Heimir Hallgrímsson,,1967-06-10,104,Iceland,1.0.2,,
7529,2018-06-16,19:00:00.000,2,0,available,scheduled,2026-05-15T15:31:49.325140,2021-06-13T16:17:31.694,1,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,785,Croatia,male,,56,Croatia,775,Nigeria,male,,166,Nigeria,10,Group Stage,4260,Rostec Arena,188,Russia,738,Sandro Ricci,31,Brazil,Zlatko Dalić,Gernot Rohr,307,Zlatko Dalić,,1966-10-26,56,Croatia,636,Gernot Rohr,,1953-06-28,85,Germany,1.0.2,,
7562,2018-06-26,14:00:00.000,0,2,available,scheduled,2026-05-15T15:38:44.626404,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,792,Australia,male,,14,Australia,784,Peru,male,,179,Peru,10,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,725,Sergey Karasev,188,Russia,Lambertus van Marwijk,Ricardo Alberto Gareca Nardi,630,Lambertus van Marwijk,,1952-05-19,160,Netherlands,629,Ricardo Alberto Gareca Nardi,Ricardo Gareca,1958-02-10,11,Argentina,1.0.2,,
7571,2018-06-28,14:00:00.000,0,1,available,scheduled,2026-05-15T15:45:15.674536,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,787,Senegal,male,,202,Senegal,769,Colombia,male,,49,Colombia,10,Group Stage,118023,Solidarnost Arena,188,Russia,727,Milorad Mažić,203,Serbia,Aliou Cissé,José Néstor Pekerman,635,Aliou Cissé,,1976-03-24,202,Senegal,634,José Néstor Pekerman,José Pékerman,1949-09-03,11,Argentina,1.0.2,,
7568,2018-06-27,18:00:00.000,2,2,available,scheduled,2026-05-15T15:41:35.877377,2021-06-13T16:17:31.694,3,43,International,FIFA World Cup,International - FIFA World Cup,3,2018,773,Switzerland,male,,221,Switzerland,795,Costa Rica,male,,54,Costa Rica,10,Group Stage,4263,Stadion Nizhny Novgorod (Nizhniy Novgorod),188,Russia,76,Clément Turpin,78,France,Vladimir Petković,Óscar Antonio Ramírez Hernández,492,Vladimir Petković,,1963-08-15,28,Bosnia and Herzegovina,646,Óscar Antonio Ramírez Hernández,Óscar Ramírez,1964-12-08,54,Costa Rica,1.0.2,,
